#0,2
#28,27
стіни
28, 1, 0, 1	
1, 28, 0, 1	
1, 28, 28, 1	
29, 1, 0, 29	

кути
5, 1, 2, 3
1, 5, 2, 3
5, 1, 22, 3    
1, 5, 26, 3	 
1, 5, 2, 23	
5, 1, 2, 27
5, 1, 22, 27 
1, 5, 26, 23	

1, 5, 10, 5	
1, 5, 19, 5	
1, 5, 10, 20	
1, 5, 19, 20	

10, 1, 10, 15	

1, 3,  2, 10	
1, 3,  26, 10
1, 3,  4, 14	
1, 3,  24, 14
1, 3,  2, 18	
1, 3,  26, 18

--dots
1,	1
2,	1
3,	1
4,	1
5,	1
6,	1
7,	1
8,	1
9,	1
10, 1
11, 1
12, 1
13, 1
14, 1
15, 1
16, 1
17, 1
18, 1
19, 1
20, 1
21, 1
22, 1
23, 1
24, 1
25, 1
26, 1
27, 1

